"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"backflowPreventionDevice","backflowPreventionDevice","LRMl Editor - ",2023-03-01 02:59:55.882536000,"NZ_NZBC-G12AS1#3.12","backflow prevention device",2280,
"manufacturing","manufacturing","LRMl Editor - ",2023-03-01 03:03:52.460178000,"NZ_NZBC-G12AS1#3.12","manufacturing",2281,
"reducedPressureZoneDevice","reducedPressureZoneDevice","LRMl Editor - ",2023-03-01 05:07:16.431110000,"NZ_NZBC-G12AS1#3.12","reduced pressure zone device",2282,
"pressureVacuumBreaker","pressureVacuumBreaker","LRMl Editor - ",2023-03-01 06:02:24.930740000,"NZ_NZBC-G12AS1#3.12","pressure vacuum breaker",2287,
"waterTank","waterTank","LRMl Editor - ",2023-03-01 06:06:29.005369000,"NZ_NZBC-G12AS1#3.12","water tank",2288,
"cover","cover","LRMl Editor - ",2023-03-01 06:17:22.672933000,"NZ_NZBC-G12AS1#3.12","cover",2291,
"heightClearance","heightClearance","LRMl Editor - ",2023-03-01 06:21:02.886508000,"NZ_NZBC-G12AS1#3.12","height clearance",2292,
"structuralSupport","structuralSupport","LRMl Editor - ",2023-03-01 06:31:04.621024000,"NZ_NZBC-G12AS1#3.12","structural support",2294,
"size","size","LRMl Editor - ",2023-03-01 06:34:08.362624000,"NZ_NZBC-G12AS1#3.12","size",2296,
"waterHeater","waterHeater","LRMl Editor - ",2023-03-01 06:48:43.010096000,"NZ_NZBC-G12AS1#3.12","water heater",2298,
"nonReturnValve","nonReturnValve","LRMl Editor - ",2023-03-01 07:41:35.063322000,"NZ_NZBC-G12AS1#3.12","non return valve",2304,
"ventilationPipe","ventilationPipe","LRMl Editor - ",2023-03-01 07:50:34.784734000,"NZ_NZBC-G12AS1#3.12","ventilation pipe",2305,
"device","device","LRMl Editor - ",2023-03-01 08:13:11.096518000,"NZ_NZBC-G12AS1#3.12","device",2307,
"design","design","LRMl Editor - ",2023-03-01 08:17:53.846637000,"NZ_NZBC-G12AS1#3.12","design",2309,
"waterTemperature","waterTemperature","LRMl Editor - ",2023-03-01 08:29:28.513084000,"NZ_NZBC-G12AS1#3.12","water temperature",2310,
"hotWaterStorageVessel","hotWaterStorageVessel","LRMl Editor - ",2023-03-01 08:47:52.032507000,"NZ_NZBC-G12AS1#3.12","hot water storage vessel",2311,
