"KEY","CODE","DESCRIPTION","TABLE_NAME","TEXT","TITLE",
"tankCylinderAndVesselProducts","Pr_60_50","","Pr Products","tank, cylinder and vessel products","Tank, cylinder and vessel products",
"bulkStorageTanks","Pr_60_50_10","","Pr Products","bulk storage tanks","Bulk storage tanks",
"glassFusedSteelTanks","Pr_60_50_10_34","","Pr Products","glass fused steel tanks","Glass fused steel tanks",
"plasticsTanks","Pr_60_50_10_64","","Pr Products","plastics tanks","Plastics tanks",
"precastConcreteModularTanks","Pr_60_50_10_66","","Pr Products","precast concrete modular tanks","Precast concrete modular tanks",
"cylindersAndBufferVessels","Pr_60_50_20","","Pr Products","cylinders and buffer vessels","Cylinders and buffer vessels",
"accumulators","Pr_60_50_20_02","","Pr Products","accumulators","Accumulators",
"bufferVessels","Pr_60_50_20_10","","Pr Products","buffer vessels","Buffer vessels",
"directHotWaterStorageCylinders","Pr_60_50_20_21","","Pr Products","direct hot water storage cylinders","Direct hot water storage cylinders",
"directInsulatedHotWaterCombinationUnits","Pr_60_50_20_22","","Pr Products","direct insulated hot water combination units","Direct insulated hot water combination units",
"doubleFeedIndirectHotWaterStorageCylinders","Pr_60_50_20_23","","Pr Products","double feed indirect hot water storage cylinders","Double feed indirect hot water storage cylinders",
"doubleFeedIndirectInsulatedHotWaterCombinationUnits","Pr_60_50_20_24","","Pr Products","double feed indirect insulated hot water combination units","Double feed indirect insulated hot water combination units",
"dualCoilHotWaterStorageCylinders","Pr_60_50_20_25","","Pr Products","dual coil hot water storage cylinders","Dual coil hot water storage cylinders",
"expansionVessels","Pr_60_50_20_28","","Pr Products","expansion vessels","Expansion vessels",
"indirectlyHeatedUnventedHotWaterStorageCylinders","Pr_60_50_20_42","","Pr Products","indirectly heated unvented hot water storage cylinders","Indirectly heated unvented hot water storage cylinders",
"singleFeedIndirectInsulatedCombinationUnits","Pr_60_50_20_77","","Pr Products","single feed indirect insulated combination units","Single feed indirect insulated combination units",
"singleFeedIndirectHotWaterStorageCylinders","Pr_60_50_20_78","","Pr Products","single feed indirect hot water storage cylinders","Single feed indirect hot water storage cylinders",
"gasStorageCylinders","Pr_60_50_33","","Pr Products","gas storage cylinders","Gas storage cylinders",
